Subj#,Trial#,Left Color,Right Color,Left Luminance (0-bright 1-dark),Right Luminance (0-bright 1-dark),Viewing Distance(1.5 3 & 8 m),User response(0-left 1-right),ResponseTime (ms)
150012_0,1,DarkRed,LightYellow,1,0,7,1,3933.22
150012_0,2,DarkRed,DarkBlue,1,1,3,1,1172.72
150012_0,3,LightCyan,DarkMagenta,0,1,3,1,832.11
150012_0,4,LightBlue,LightGreen,0,0,1.5,0,8134.30
150012_0,5,DarkRed,LightGreen,1,0,1.5,1,1939.08
150012_0,6,DarkGreen,LightYellow,1,0,3,1,698.75
150012_0,7,DarkRed,DarkYellow,1,1,3,1,698.77
150012_0,8,LightRed,LightYellow,0,0,7,0,4780.78
150012_0,9,DarkYellow,LightMagenta,1,0,7,1,2346.40
150012_0,10,LightYellow,DarkMagenta,0,1,7,0,2230.76
150012_0,11,LightGreen,LightBlue,0,0,7,0,966.87
150012_0,12,LightYellow,LightMagenta,0,0,7,1,3532.11
150012_0,13,DarkMagenta,DarkBlue,1,1,1.5,1,801.77
150012_0,14,DarkMagenta,DarkYellow,1,1,7,1,963.96
150012_0,15,LightCyan,LightRed,0,0,3,1,833.74
150012_0,16,DarkMagenta,DarkBlue,1,1,3,1,876.77
150012_0,17,LightYellow,DarkYellow,0,1,7,0,7366.45
150012_0,18,LightBlue,LightCyan,0,0,3,0,699.19
150012_0,19,LightBlue,LightYellow,0,0,7,0,700.62
150012_0,20,LightRed,DarkGreen,0,1,1.5,1,4666.48
150012_0,21,DarkGreen,LightYellow,1,0,7,1,803.48
150012_0,22,LightMagenta,LightYellow,0,0,1.5,1,734.74
150012_0,23,LightBlue,LightCyan,0,0,1.5,1,775.66
150012_0,24,LightBlue,DarkBlue,0,1,3,0,5969.24
150012_0,25,DarkGreen,LightGreen,1,0,1.5,1,1869.38
150012_0,26,LightRed,DarkBlue,0,1,1.5,0,1929.82
150012_0,27,LightCyan,LightMagenta,0,0,1.5,1,2002.46
150012_0,28,DarkRed,DarkGreen,1,1,3,1,565.66
150012_0,29,DarkMagenta,DarkCyan,1,1,1.5,1,621.89
150012_0,30,LightCyan,LightMagenta,0,0,3,1,698.69
150012_0,31,DarkCyan,DarkRed,1,1,1.5,0,5602.65
150012_0,32,LightRed,LightGreen,0,0,3,1,2031.26
150012_0,33,DarkCyan,LightGreen,1,0,3,1,663.25
150012_0,34,DarkMagenta,DarkCyan,1,1,3,1,703.30
150012_0,35,LightYellow,LightRed,0,0,1.5,0,4200.18
150012_0,36,LightCyan,LightGreen,0,0,3,0,631.56
150012_0,37,DarkRed,DarkBlue,1,1,7,1,3031.59
150012_0,38,LightGreen,LightYellow,0,0,7,0,2013.10
150012_0,39,LightRed,LightCyan,0,0,7,1,1798.74
150012_0,40,DarkGreen,LightBlue,1,0,3,1,731.51
150012_0,41,LightYellow,DarkRed,0,1,1.5,0,3066.98
150012_0,42,DarkBlue,DarkMagenta,1,1,7,0,930.96
150012_0,43,LightCyan,DarkBlue,0,1,3,0,897.53
150012_0,44,DarkCyan,LightMagenta,1,0,1.5,0,629.81
150012_0,45,LightRed,DarkRed,0,1,7,0,629.40
150012_0,46,DarkYellow,LightBlue,1,0,7,1,7233.69
150012_0,47,DarkGreen,LightYellow,1,0,1.5,0,2206.29
150012_0,48,DarkCyan,DarkBlue,1,1,7,1,2066.14
150012_0,49,DarkGreen,LightRed,1,0,7,1,634.90
