Subj#,Trial#,Left Color,Right Color,Left Luminance (0-bright 1-dark),Right Luminance (0-bright 1-dark),Viewing Distance(1.5 3 & 8 m),User response(0-left 1-right),ResponseTime (ms)
291218,1,LightMagenta,LightBlue,0,0,1.5,1,2361.63
291218,2,LightGreen,DarkRed,0,1,3,0,5333.84
291218,3,LightRed,LightGreen,0,0,3,0,2401.31
291218,4,DarkRed,LightMagenta,1,0,3,0,1896.89
291218,5,LightRed,LightCyan,0,0,7,1,11738.89
291218,6,DarkBlue,LightMagenta,1,0,1.5,1,3226.71
291218,7,LightRed,DarkCyan,0,1,3,0,9857.48
291218,8,LightCyan,LightBlue,0,0,3,1,5231.27
291218,9,LightMagenta,DarkRed,0,1,7,1,2895.85
291218,10,LightBlue,LightCyan,0,0,1.5,0,9167.47
291218,11,LightMagenta,LightCyan,0,0,3,0,2229.61
291218,12,DarkMagenta,LightYellow,1,0,7,1,7459.91
291218,13,LightRed,DarkGreen,0,1,7,0,4295.25
291218,14,DarkYellow,LightBlue,1,0,7,1,7167.59
291218,15,DarkGreen,DarkBlue,1,1,3,1,2368.85
291218,16,DarkBlue,LightBlue,1,0,7,1,2600.69
291218,17,LightMagenta,LightGreen,0,0,3,1,2033.08
291218,18,LightGreen,LightBlue,0,0,7,0,15966.25
291218,19,DarkCyan,LightMagenta,1,0,3,0,1974.39
291218,20,DarkGreen,DarkYellow,1,1,7,1,8831.00
291218,21,DarkBlue,DarkMagenta,1,1,3,0,8308.17
291218,22,LightYellow,DarkGreen,0,1,3,0,2958.98
291218,23,DarkCyan,LightRed,1,0,1.5,1,11872.19
291218,24,DarkBlue,LightGreen,1,0,1.5,1,3235.80
291218,25,DarkRed,LightCyan,1,0,3,0,11969.00
291218,26,LightRed,DarkRed,0,1,3,0,1204.45
291218,27,DarkRed,DarkCyan,1,1,7,1,7832.95
291218,28,DarkYellow,LightGreen,1,0,3,0,4597.03
291218,29,LightRed,LightMagenta,0,0,3,0,1697.84
291218,30,LightYellow,DarkBlue,0,1,7,1,8464.21
291218,31,LightGreen,LightCyan,0,0,7,1,3860.43
291218,32,LightBlue,LightYellow,0,0,1.5,0,11763.35
291218,33,LightCyan,DarkRed,0,1,7,0,3370.08
291218,34,DarkBlue,DarkMagenta,1,1,7,1,10600.56
291218,35,DarkBlue,DarkGreen,1,1,1.5,0,5533.06
291218,36,LightMagenta,LightGreen,0,0,1.5,0,3967.52
291218,37,DarkYellow,DarkMagenta,1,1,1.5,0,4230.53
291218,38,LightGreen,DarkRed,0,1,7,1,15006.14
291218,39,LightGreen,DarkMagenta,0,1,7,1,1327.66
291218,40,LightRed,DarkBlue,0,1,1.5,1,3343.87
291218,41,DarkBlue,DarkYellow,1,1,1.5,1,3737.71
291218,42,DarkCyan,LightGreen,1,0,3,1,3223.14
291218,43,LightBlue,LightYellow,0,0,7,1,1160.88
291218,44,LightYellow,DarkYellow,0,1,3,0,23097.74
291218,45,LightYellow,LightGreen,0,0,7,1,6367.28
291218,46,LightRed,LightYellow,0,0,7,1,1026.83
291218,47,DarkGreen,DarkMagenta,1,1,1.5,1,4330.34
291218,48,DarkCyan,LightGreen,1,0,7,1,1030.37
291218,49,LightRed,DarkRed,0,1,1.5,1,2887.78
291218,50,LightCyan,LightRed,0,0,1.5,1,2061.39
291218,51,DarkMagenta,DarkYellow,1,1,7,1,1023.56
291218,52,DarkRed,LightYellow,1,0,1.5,1,2763.83
291218,53,DarkBlue,LightGreen,1,0,3,1,1155.27
291218,54,LightMagenta,DarkBlue,0,1,3,1,1758.76
291218,55,DarkMagenta,LightCyan,1,0,1.5,1,1669.42
291218,56,DarkRed,DarkMagenta,1,1,3,0,28028.04
291218,57,LightCyan,DarkCyan,0,1,7,0,3401.27
291218,58,DarkBlue,LightYellow,1,0,3,1,7598.72
291218,59,LightMagenta,DarkCyan,0,1,7,1,1300.33
291218,60,LightCyan,DarkYellow,0,1,3,1,2709.63
291218,61,DarkGreen,DarkYellow,1,1,1.5,1,2598.38
291218,62,LightRed,DarkGreen,0,1,3,0,13595.76
291218,63,DarkGreen,DarkRed,1,1,7,1,5533.08
